State,ST,FIPS,County,poor_health,smoking,obesity,fei,excessive_drinking,teen_births,uninsured,hs_graduation,some_college,unemployment,children_poverty,income_inequality,single_parent,violent_crime,air_polution,non_hispanic_african_american,non_hispanic_white,not_proficient_english,household_income
Alabama,AL,1001,"Autauga County, Alabama",0.184,0.191,0.375,7.2,0.169,26.524,0.085,0.9,0.661,0.039,0.193,4.637,0.247,272.282,11.7,0.193,0.745,0.008,58343
Alabama,AL,1003,"Baldwin County, Alabama",0.181,0.168,0.31,8,0.167,29.594,0.107,0.864,0.368,0.04,0.147,4.519,0.252,203.66,10.3,0.090,0.830,0.005,56607
Alabama,AL,1005,"Barbour County, Alabama",0.258,0.215,0.443,5.6,0.127,45.093,0.125,0.814,0.484,0.059,0.503,5.755,0.572,414.278,11.5,0.479,0.460,0.012,32490
Alabama,AL,1007,"Bibb County, Alabama",0.2,0.199,0.378,7.6,0.159,45.455,0.097,0.838,0.544,0.044,0.273,4.255,0.296,89.349,11.2,0.215,0.743,0.004,45795
Alabama,AL,1009,"Blount County, Alabama",0.211,0.197,0.344,8.5,0.154,35.601,0.121,0.935,0.336,0.04,0.185,4.127,0.296,482.691,11.7,0.015,0.869,0.019,48253
Alabama,AL,1011,"Bullock County, Alabama",0.294,0.235,0.394,4.2,0.129,54.593,0.132,0.702,0.384,0.049,0.483,6.6,0.762,311.027,11.2,0.692,0.213,0.011,29113
Alabama,AL,1013,"Butler County, Alabama",0.265,0.222,0.402,6.5,0.13,42.146,0.107,0.816,0.575,0.055,0.33,5.123,0.526,581.584,10.6,0.446,0.516,0.007,36842
Alabama,AL,1015,"Calhoun County, Alabama",0.196,0.205,0.371,6.9,0.154,37.05,0.112,0.924,0.471,0.049,0.242,4.984,0.393,756.067,11.8,0.208,0.723,0.009,45937
Alabama,AL,1017,"Chambers County, Alabama",0.252,0.22,0.403,6.3,0.135,49.575,0.107,0.862,0.501,0.041,0.296,4.739,0.484,529,11.4,0.395,0.555,0.002,36883
Alabama,AL,1019,"Cherokee County, Alabama",0.193,0.191,0.363,8.5,0.152,41.123,0.119,0.949,0.388,0.041,0.25,4.786,0.264,330.439,11.4,0.042,0.917,0.001,44842
